HS_CODE,Name,Eng_Name,,
0101211000,농가 사육용,For farm breeding,,
0101219000,기타,Other,,
0101291000,경주말,Horses for racing,,
0101299000,기타,Other,,
0101301000,번식용,Pure-bred breeding animals,,
0101309000,기타,Other,,
0101900000,기타,Other,,
0102211000,젖소,For milk ,,
0102212000,육우(肉牛),For meat,,
0102219000,기타,Other,,
0102291000,젖소,For milk ,,
0102292000,육우(肉牛),For meat,,
0102299000,기타,Other,,
0102310000,번식용,Pure-bred breeding animals,,
0102391000,젖소,For milk ,,
0102392000,육우(肉牛),For meat,,
0102399000,기타,Other,,
0102901000,번식용,Pure-bred breeding animals,,
01029090,기타,Other,,
0102909010,젖소,For milk,,
0102909020,육우(肉牛),For meat,,
0102909090,기타,Other,,
0103100000,번식용,Pure-bred breeding animals,,
0103910000,중량이 50킬로그램 미만인 것,Weighing less than 50 kg,,
0103920000,중량이 50킬로그램 이상인 것,Weighing 50 kg or more,,
0104101000,번식용,Pure-bred breeding animals,,
0104109000,기타,Other,,
0104201000,젖산양,Milk goats,,
0104209000,기타,Other,,
0105111000,번식용,Pure-bred breeding animals,,
0105119000,기타,Other,,
0105120000,칠면조,Turkeys,,
0105131000,번식용,Pure-bred breeding animals,,
0105139000,기타,Other,,
0105140000,거위,Geese,,
0105150000,기니아새,Guinea fowls,,
0105941000,번식용,Pure-bred breeding animals,,
0105949000,기타,Other,,
01059910,오리,Ducks,,
0105991010,번식용,Pure-bred breeding animals,,
0105991090,기타,Other,,
0105992000,칠면조,Turkeys,,
0105999000,기타,Other,,
0106110000,영장류,Primates,,
0106121000,"고래 □ 돌고래류(고래목의 포유동물), 바다소(바다소목의 포유동물)","Whales, dolphins and porpoises(mammals of the order Cetacea); manatees and dugongs(mammals of the order Sirenia)",,
0106122000,"물개, 바다사자와 바다코끼리(기각아목의 포유동물)","Seals, sea lions and walruses(mammals of the suborder Pinnipedia)",,
0106130000,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],Camels and other camelids(Camelidae),,
0106141000,번식용,Pure-bred breeding animals,,
0106149000,기타,Other,,
0106191000,개,Dogs,,
0106193000,사슴,Deer,,
0106194000,곰,Bears,,
01061950,여우,Fox,,
0106195010,번식용,Pure-bred breeding animals,,
0106195090,기타,Other,,
01061960,밍크,Mink,,
0106196010,번식용,Pure-bred breeding animals,,
0106196090,기타,Other,,
0106199000,기타,Other,,
0106201000,뱀,Snakes,,
0106202000,자라,Fresh-water tortoises,,
0106203000,거북,Turtles,,
0106209000,거북,Other,,
0106310000,맹금류,Birds of prey,,
0106320000,앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다],"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",,
0106330000,타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)],Ostriches; emus (Dromaius novaehollandiae),,
0106390000,기타,Other,,
0106411000,꿀벌,Honey bees,,
0106419000,기타,Other,,
0106490000,기타,Other,,
0106901000,양서류,Amphibia,,
01069030,환형동물류,Annelida,,
0106903010,갯지렁이,Lug worms,,
0106903020,실지렁이,Sludge worms,,
0106903090,기타,Other,,
0106909000,기타,Other,,
