eng_name1,eng_UN,eng_name2,org,std,korean
AFGHANISTAN,Afghanistan,Islamic Republic of Afghanistan,Afghanistan ,아프가니스탄이슬람공화국,아프가니스탄
ALBANIA,Albania,Republic of Albania ,Albania ,알바니아공화국,알바니아
ALGERIA,Algeria,People's Democratic Republic of Algeria,Alg?rie ,알제리인민민주공화국,알제리
ANDORRA,Andorra,Principality of Andorra,Andorra ,안도라공국 ,안도라
ANGOLA,Angola,Republic of Angola,Angola ,앙골라공화국,앙골라
ANTIGUA & BARBUDA,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,앤티가바부다,앤티가바부다
ARGENTINA,Argentina,Argentine Republic,Argentina ,아르헨티나공화국,아르헨티나
ARMENIA,Armenia,Republic of Armenia,Armenia ,아르메니아공화국 ,아르메니아
AUSTRALIA,Australia,Commonwealth of Australia,Australia ,호주연방,오스트레일리아
AUSTRIA,Austria,Republic of Austria,Austria ,오스트리아공화국,오스트리아
AZERBAIJAN ,Azerbaijan,Republic of Azerbaijan,Azerbaidzhan ,아제르바이잔공화국,아제르바이잔
BAHAMAS,Bahamas,Commonwealth of the Bahamas,Bahamas ,바하마연방,바하마
BAHRAIN,Bahrain,Kingdom of Bahrain,Bahrain ,바레인왕국,바레인
BANGLADESH,Bangladesh,People's Republic of Bangladesh,Bangladesh ,방글라데시인민공화국,방글라데시
BARBADOS,Barbados,Barbados,Barbados,바베이도스,바베이도스
BELARUS ,Belarus,Republic of Belarus ,Belarus ,벨라루스공화국,벨라루스
BELGIUM,Belgium,Kingdom of Belgium,Belgi? ,벨기에왕국,벨기에
BELIZE,Belize,Belize ,Belize,벨리즈 ,벨리즈
BENIN,Benin,Republic of Benin,Benin ,베냉공화국,베냉
BHUTAN,Bhutan,Kingdom of Bhutan,Bhutan ,부탄왕국,부탄
BOLIVIA,Bolivia (Plurinational State of),Plurinational State of Bolivia,Bolivia ,볼리비아다민족국,볼리비아
BOSNIA & HERZEGOVINA ,Bosnia Herzegovina,Bosnia and Herzegovina ,Bosnia and Herzegovina,보스니아헤르체고비나,보스니아헤르체고비나
BOTSWANA,Botswana,Republic of Botswana,Botswana ,보츠와나공화국,보츠와나
BRAZIL,Brazil,Federative Republic of Brazil ,Brazil ,브라질연방공화국,브라질
BRUNEI,Brunei Darussalam,Brunei Darussalam,Brunei ,브루나이다루살람 ,브루나이
BULGARIA,Bulgaria,Republic of Bulgaria,Bulgaria ,불가리아공화국,불가리아
BURKINA FASO,Burkina Faso,Burkina Faso ,Burkina Faso,부르키나파소,부르키나파소
BURUNDI,Burundi,Republic of Burundi,Burundi ,부룬디공화국 ,부룬디
CAMBODIA,Cambodia,Kingdom of Cambodia ,Cambodia ,캄보디아왕국,캄보디아
CAMEROON,Cameroon,Republic of Cameroon,Cameroon ,카메룬공화국,카메룬
CANADA,Canada,Canada,Canada,캐나다 ,캐나다
CAPE VERDE,Cabo Verde,Republic of Cape Verde,Cabo Verde ,카보베르데공화국,카보베르데
CENTRAL AFRICA,Central African Rep.,Central African Republic,中央Africa共和國,중앙아프리카공화국,중앙아프리카 공화국
CHAD,Chad,Republic of Chad,Chad ,차드공화국,차드
CHILE,Chile,Republic of Chile,Chile ,칠레공화국,칠레
CHINA,China,People's Republic of China,中國 ,중화인민공화국,중국
COLOMBIA,Colombia,Republic of Colombia  ,Colombia ,콜롬비아공화국,콜롬비아
COMOROS,Comoros,Union of the Comoros,Comoros ,코모로연방 ,코모로
CONGO(CC),Congo,Republic of the Congo,Congo ,콩고공화국,콩고
CONGO(DR) ,Congo,Democratic Republic of Congo,Congo民主共和國,콩고민주공화국,콩고 민주 공화국
COSTA RICA,Costa Rica,Republic of Costa Rica,Costa Rica ,코스타리카공화국,코스타리카
COTE D'IVOIRE,C?te d’Ivoire ,Republic of Cote D'Ivoire,C?te d’Ivoire ,코트디부아르공화국,코트디부아르
CROATIA,Croatia,Republic of Croatia,Croatia ,크로아티아공화국,크로아티아
CUBA,Cuba,Republic of Cuba,Cuba ,쿠바공화국 ,쿠바
CYPRUS ,Cyprus,Republic of Cyprus,Kypros ,사이프러스공화국,키프로스
CZECH ,Czechia,Czech Republic,Czech ,체코공화국,체코
DENMARK,Denmark,Kingdom of Denmark,Denmark ,덴마크왕국,덴마크
DJIBOUTI ,Djibouti,Republic of Djibouti,Djibouti ,지부티공화국,지부티
DOMINICA,Dominica,Commonwealth of Dominica,Dominica ,도미니카연방,도미니카
"DOMINICA, REP.",Dominican Rep.,Dominican Republic,Dominican共和國,도미니카공화국,도미니카 공화국
ECUADOR,Ecuador,Republic of Ecuador,Ecuador ,에콰도르공화국,에콰도르
EGYPT,Egypt,Arab Republic of Egypt,Egypt ,이집트아랍공화국,이집트
EL SALVADOR,El Salvador,Republic of El Salvador,El Salvador ,엘살바도르공화국,엘살바도르
EQ. GUINEA ,Equatorial Guinea,Republic of Equatorial Guinea ,赤道Guinea ,적도기니공화국,적도 기니
ERITREA,Eritrea,Eritrea,Eritrea,에리트레아 ,에리트레아
ESTONIA ,Estonia,Republic of Estonia,Estonia ,에스토니아공화국,에스토니아
ETHIOPIA ,Ethiopia,Federal Democratic Republic of Ethiopia,Ethiopia ,에티오피아연방민주공화국,에티오피아
FIJI,Fiji,Republic of Fiji ,Fiji ,피지공화국,피지
FINLAND,Finland,Republic of Finland,Finland ,핀란드공화국,핀란드
FRANCE,France,French Republic,France ,프랑스공화국,프랑스
GABON,Gabon,Gabonese Republic,Gabon ,가봉공화국,가봉
GAMBIA,Gambia,Republic of the Gambia,Gambia ,감비아공화국,감비아
GEORGIA,Georgia,Georgia,Georgia,조지아 ,조지아
GERMANY,Germany,Federal Republic of Germany,獨逸 ,독일연방공화국,독일
GHANA,Ghana,Republic of Ghana,Ghana ,가나공화국,가나
GREECE,Greece,Hellenic Republic,Greece ,그리스공화국,그리스
GRENADA,Grenada,Grenada,Grenada,그레나다,그레나다
GUATEMALA,Guatemala,Republic of Guatemala,Guatemala ,과테말라공화국,과테말라
GUINEA,Guinea,Republic of Guinea,Guinea ,기니공화국 ,기니
GUINEA BISSAU,Guinea-Bissau,Republic of Guinea Bissau,Guinea-Bissau ,기니비사우공화국,기니비사우
GUYANA,Guyana,Cooperative Republic of Guyana,Guyana ,가이아나협동공화국,가이아나
HAITI,Haiti,Republic of Haiti,Ha?ti ,아이티공화국,아이티
HOLY SEE (VATICAN),Holy See,Holy See,敎皇廳 ,교황청,교황-청
HONDURAS,Honduras,Republic of Honduras,Honduras ,온두라스공화국,온두라스
HUNGARY,Hungary,Hungary,Hungary,헝가리,헝가리
ICELAND ,Iceland,Republic of Iceland,Iceland ,아이슬란드공화국,아이슬란드
INDIA,India,Republic of India,印度 ,인도공화국,인도
INDONESIA,Indonesia,Republic of Indonesia,Indonesia ,인도네시아공화국,인도네시아
IRAN,Iran,Islamic Republic of Iran,Iran ,이란이슬람공화국,이란
IRAQ,Iraq,Republic of Iraq,Iraq ,이라크공화국,이라크
IRELAND,Ireland,Ireland,Ireland,아일랜드 ,아일랜드
ISRAEL,Israel,State of Israel,Israel ,이스라엘국,이스라엘
ITALY,Italy,Italian Republic,Italia ,이탈리아공화국,이탈리아
JAMAICA,Jamaica,Jamaica,Jamaica,자메이카,자메이카
JAPAN,Japan,Japan,日本 ,일본국,일본
JORDAN,Jordan,Hashemite Kingdom of Jordan,Jordan ,요르단왕국,요르단
